Environment_Type,Vertical/Industry,Company_Size,Hypervisor_Type,Storage_Type,Current_IT_Environment,Existing_Compute_Vendor,Existing_Switch_Vendor,Existing_Storage_Vendor,Current_Access_Protocol,Data_Protection_Strategy_Type,Current_Backup_Type,Current_Backup_Software,Existing_Cloud_Provider,AI_Readiness,Dell_Recommended_Server_Model,Dell_Recommended_Networking_Solution,Dell_Recommended_Storage_Product,Dell_Recommended_HCI_Solution,Dell_Recommended_Data_Protection_Solution,Cloud_UseCase_to_APEX_Mapping
Greenfield,IT Services,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Government,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,Dell,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Nonprofit,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Biotechnology,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Oil & Gas,Mid,,File,Hybrid NAS Environment,Dell,Dell,Dell,NFS,Snapshot,Differential,Veeam,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Public Sector,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Marketing,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Telecom,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Legal,Enterprise,,Block,Mission Critical Environment,Lenovo,Brocade,EMC,FC/iSCSI,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Marketing,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Transportation,Enterprise,,Unified,Business Critical Modern Environment,Dell,Cisco,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Mining,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,IT Services,Mid,,File,Active Archive NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Cisco,,multiprotocol,Snapshot,Incremental,Veeam,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Energy,Enterprise,,Block,Mission Critical Environment,Dell,Dell,Dell,FC/iSCSI,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Nonprofit,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Aerospace,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Insurance,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Telecom,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Government,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Construction,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Hospitality,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Research,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Real Estate,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Education,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Agriculture,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Education,Enterprise,,File,Hybrid NAS Environment,,Dell,,NFS,Snapshot,Incremental,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Finance,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Healthcare,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Manufacturing,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Transportation,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Retail,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Nonprofit,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Enterprise,,Block,Mission Critical Environment,Dell,Cisco,NetApp,FC/iSCSI,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Finance,SMB,,Block,Entry level Environment,,Brocade,EMC,FC/iSCSI,Backup,Differential,Veeam,,Edge,Dell PowerEdge XR Series,Dell PowerSwitch Edge Switches,Dell PowerVault,,Dell PowerProtect Data Domain,
Brownfield,Government,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,IT Services,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Finance,Enterprise,Hyper-V,Block,Hybrid Azure Cloud Environment,,,,FC/iSCSI,Backup,,,Azure,Not ready,,,,Dell AX System for Azure Local,,
Brownfield,Legal,Enterprise,,Object,S3 Environment,Lenovo,Brocade,EMC,S3,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Retail,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/GCP,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Research,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,Mid,,File,Hybrid NAS Environment,Dell,Cisco,Dell,NFS,Snapshot,Incremental,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Media,Mid,,File,Active Archive NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Greenfield,Energy,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Healthcare,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,Large,,Object,S3 Environment,,Dell,,S3,Backup,Incremental,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Biotechnology,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Telecom,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Differential,Veeam,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Nonprofit,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Professional Services,Mid,,Unified,Business Critical Modern Environment,Dell,Dell,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Construction,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Finance,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Energy,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Snapshot,Incremental,Veeam,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Government,Enterprise,,Object,S3 Environment,,Dell,,S3,Archive,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Legal,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Retail,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Mid,,File,Extreme performance NAS Environment,Dell,Cisco,IBM,NFS,Backup,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Education,Mid,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Retail,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Telecom,Enterprise,,File,Hybrid NAS Environment,Dell,Dell,Dell,NFS,Snapshot,Differential,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Agriculture,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Finance,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Snapshot,Incremental,Veeam,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Legal,Enterprise,,Block,Mission Critical Environment,,,,FC/iSCSI,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Media,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Finance,Enterprise,Hyper-V,Block,Hybrid Azure Cloud Environment,,,,FC/iSCSI,Backup,,,Azure,Not ready,,,,Dell AX System for Azure Local,,
Brownfield,Retail,Mid,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Healthcare,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Education,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Manufacturing,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,Dell,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Oil & Gas,Enterprise,,Block,Mission Critical Environment,Dell,Dell,EMC,FC/iSCSI,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Brownfield,Finance,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Public Sector,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Construction,Enterprise,,File,Active Archive NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Brownfield,Pharma,Enterprise,,File,Extreme performance NAS Environment,HPE,Cisco,IBM,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Professional Services,Mid,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Government,Large,Hyper-V,Block,Hybrid Azure Cloud Environment,Lenovo,Brocade,EMC,FC/iSCSI,Backup,Full,Commvault,Azure,Not ready,,,,Dell AX System for Azure Local,,
Greenfield,Insurance,Large,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Mining,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS/Azure,"Moderate, HPC",,,,,,Dell APEX Object Storage
